frame.time,ip.proto,ip.src,ip.dst,tcp.srcport,tcp.dstport,tcp.stream,tcp.seq,tcp.flags,http.request.method,http.host,http.request.full_uri,http.request.version,http.user_agent,http.request.uri.query.parameter,http.request.uri.query,http.server,http.response.code,http.response.phrase
"Sep 24, 2019 10:55:58.296772309 +08",6,192.168.43.238,192.168.43.182,54162,80,3,410,0x00000010,,,,,,,,,,
"Sep 24, 2019 10:55:58.297051108 +08",6,192.168.43.182,192.168.43.238,80,54161,2,1093,0x00000018,,,,,,,,Apache/2.4.34 (Debian),404,Not Found
"Sep 24, 2019 10:55:58.305083385 +08",6,192.168.43.238,192.168.43.182,54163,80,4,407,0x00000010,,,,,,,,,,
"Sep 24, 2019 10:55:58.348760790 +08",6,192.168.43.238,192.168.43.182,54161,80,2,1564,0x00000010,,,,,,,,,,
"Sep 24, 2019 10:56:01.370559826 +08",6,192.168.43.238,192.168.43.182,54161,80,2,1564,0x00000018,POST,192.168.43.182,http://192.168.43.182/sa/3204/login.php,HTTP/1.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.90 Safari/537.36",,,,,
"Sep 24, 2019 10:56:01.371407777 +08",6,192.168.43.182,192.168.43.238,44966,3306,5,0,0x00000002,,,,,,,,,,
"Sep 24, 2019 10:56:01.388827911 +08",6,192.168.43.238,192.168.43.182,3306,44966,5,0,0x00000012,,,,,,,,,,
"Sep 24, 2019 10:56:01.388896885 +08",6,192.168.43.182,192.168.43.238,44966,3306,5,1,0x00000010,,,,,,,,,,
"Sep 24, 2019 10:56:01.404864866 +08",6,192.168.43.238,192.168.43.182,3306,44966,5,1,0x00000018,,,,,,,,,,
"Sep 24, 2019 10:56:01.404913449 +08",6,192.168.43.182,192.168.43.238,44966,3306,5,1,0x00000010,,,,,,,,,,
"Sep 24, 2019 10:56:01.405030190 +08",6,192.168.43.182,192.168.43.238,44966,3306,5,1,0x00000018,,,,,,,,,,
"Sep 24, 2019 10:56:01.412836261 +08",6,192.168.43.182,192.168.43.238,80,54161,2,1637,0x00000010,,,,,,,,,,
"Sep 24, 2019 10:56:01.425022359 +08",6,192.168.43.238,192.168.43.182,3306,44966,5,94,0x00000018,,,,,,,,,,
"Sep 24, 2019 10:56:01.425204883 +08",6,192.168.43.182,192.168.43.238,44966,3306,5,115,0x00000018,,,,,,,,,,
"Sep 24, 2019 10:56:01.441219780 +08",6,192.168.43.238,192.168.43.182,3306,44966,5,105,0x00000018,,,,,,,,,,
"Sep 24, 2019 10:56:01.441411870 +08",6,192.168.43.182,192.168.43.238,44966,3306,5,167,0x00000018,,,,,,,,,,
"Sep 24, 2019 10:56:01.455997028 +08",6,192.168.43.238,192.168.43.182,3306,44966,5,347,0x00000018,,,,,,,,,,
"Sep 24, 2019 10:56:01.456488128 +08",6,192.168.43.182,192.168.43.238,44966,3306,5,200,0x00000018,,,,,,,,,,
"Sep 24, 2019 10:56:01.456586880 +08",6,192.168.43.182,192.168.43.238,44966,3306,5,209,0x00000019,,,,,,,,,,
"Sep 24, 2019 10:56:01.456931159 +08",6,192.168.43.182,192.168.43.238,80,54161,2,1637,0x00000018,,,,,,,,Apache/2.4.34 (Debian),302,Found
"Sep 24, 2019 10:56:01.465103097 +08",6,192.168.43.238,192.168.43.182,3306,44966,5,547,0x00000010,,,,,,,,,,
"Sep 24, 2019 10:56:01.465547396 +08",6,192.168.43.238,192.168.43.182,3306,44966,5,547,0x00000011,,,,,,,,,,
"Sep 24, 2019 10:56:01.465589915 +08",6,192.168.43.182,192.168.43.238,44966,3306,5,215,0x00000010,,,,,,,,,,
"Sep 24, 2019 10:56:01.509435339 +08",6,192.168.43.238,192.168.43.182,54161,80,2,2314,0x00000018,GET,192.168.43.182,http://192.168.43.182/sa/3204/home.php,HTTP/1.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.90 Safari/537.36",,,,,
"Sep 24, 2019 10:56:01.509507439 +08",6,192.168.43.182,192.168.43.238,80,54161,2,1989,0x00000010,,,,,,,,,,
