,frame.time,ip.proto,ip.src,ip.dst,tcp.srcport,tcp.dstport,tcp.stream,tcp.seq,tcp.flags,http.request.method,http.host,http.request.full_uri,http.request.version,http.user_agent,http.request.uri.query.parameter,http.request.uri.query,http.server,http.response.code,http.response.phrase
0,24-09-2019 11:07,6,192.168.43.202,192.168.43.182,12359,80,1220,136,0x00000018,GET,192.168.43.182,http://192.168.43.182/sa/3204/thereIsNoWayThat-You-CanBeThere/,HTTP/1.1,DirBuster-0.12 (http://www.owasp.org/index.php/Category:OWASP_DirBuster_Project),-,-,-,-,-
1,24-09-2019 11:07,6,192.168.43.202,192.168.43.182,12359,80,1220,310,0x00000018,GET,192.168.43.182,http://192.168.43.182/sa/3204/,HTTP/1.1,DirBuster-0.12 (http://www.owasp.org/index.php/Category:OWASP_DirBuster_Project),-,-,-,-,-
2,24-09-2019 11:07,6,192.168.43.202,192.168.43.182,12369,80,1240,1,0x00000018,GET,192.168.43.182,http://192.168.43.182/sa/3204/thereIsNoWayThat-You-CanBeThere.php,HTTP/1.1,DirBuster-0.12 (http://www.owasp.org/index.php/Category:OWASP_DirBuster_Project),-,-,-,-,-
3,24-09-2019 11:07,6,192.168.43.202,192.168.43.182,12367,80,1230,2519,0x00000018,GET,192.168.43.182,http://192.168.43.182/sa/3204/uploads/,HTTP/1.1,DirBuster-0.12 (http://www.owasp.org/index.php/Category:OWASP_DirBuster_Project),-,-,-,-,-
4,24-09-2019 11:07,6,192.168.43.202,192.168.43.182,12363,80,1226,2981,0x00000018,GET,192.168.43.182,http://192.168.43.182/sa/3204/home.php,HTTP/1.1,DirBuster-0.12 (http://www.owasp.org/index.php/Category:OWASP_DirBuster_Project),-,-,-,-,-
5,24-09-2019 11:07,6,192.168.43.202,192.168.43.182,12360,80,1223,3331,0x00000018,GET,192.168.43.182,http://192.168.43.182/sa/3204/login.php,HTTP/1.1,DirBuster-0.12 (http://www.owasp.org/index.php/Category:OWASP_DirBuster_Project),-,-,-,-,-
6,24-09-2019 11:07,6,192.168.43.202,192.168.43.182,12360,80,1223,3331,0x00000018,GET,192.168.43.182,http://192.168.43.182/sa/3204/login.php,HTTP/1.1,DirBuster-0.12 (http://www.owasp.org/index.php/Category:OWASP_DirBuster_Project),-,-,-,-,-
7,24-09-2019 11:07,6,192.168.43.202,192.168.43.182,12368,80,1232,1339,0x00000018,GET,192.168.43.182,http://192.168.43.182/thereIsNoWayThat-You-CanBeThere/,HTTP/1.1,DirBuster-0.12 (http://www.owasp.org/index.php/Category:OWASP_DirBuster_Project),-,-,-,-,-
8,24-09-2019 11:07,6,192.168.43.202,192.168.43.182,12369,80,1240,3428,0x00000018,GET,192.168.43.182,http://192.168.43.182/,HTTP/1.1,DirBuster-0.12 (http://www.owasp.org/index.php/Category:OWASP_DirBuster_Project),-,-,-,-,-
9,24-09-2019 11:07,6,192.168.43.202,192.168.43.182,12361,80,1222,3643,0x00000018,GET,192.168.43.182,http://192.168.43.182/sa/,HTTP/1.1,DirBuster-0.12 (http://www.owasp.org/index.php/Category:OWASP_DirBuster_Project),-,-,-,-,-
10,24-09-2019 11:07,6,192.168.43.202,192.168.43.182,12366,80,1231,5850,0x00000018,GET,192.168.43.182,http://192.168.43.182/sa/3204/asojdasoijdsai/,HTTP/1.1,DirBuster-0.12 (http://www.owasp.org/index.php/Category:OWASP_DirBuster_Project),-,-,-,-,-
11,24-09-2019 11:07,6,192.168.43.202,192.168.43.182,12369,80,1240,4944,0x00000018,GET,192.168.43.182,http://192.168.43.182/sa/3204/css/,HTTP/1.1,DirBuster-0.12 (http://www.owasp.org/index.php/Category:OWASP_DirBuster_Project),-,-,-,-,-
12,24-09-2019 11:07,6,192.168.43.202,192.168.43.182,12361,80,1222,4940,0x00000018,GET,192.168.43.182,http://192.168.43.182/sa/3204/uploads/thereIsNoWayThat-You-CanBeThere.py,HTTP/1.1,DirBuster-0.12 (http://www.owasp.org/index.php/Category:OWASP_DirBuster_Project),-,-,-,-,-
13,24-09-2019 11:07,6,192.168.43.202,192.168.43.182,12369,80,1240,5370,0x00000018,GET,192.168.43.182,http://192.168.43.182/sa/3204/js/,HTTP/1.1,DirBuster-0.12 (http://www.owasp.org/index.php/Category:OWASP_DirBuster_Project),-,-,-,-,-
14,24-09-2019 11:07,6,192.168.43.202,192.168.43.182,12361,80,1222,5418,0x00000018,GET,192.168.43.182,http://192.168.43.182/sa/3204/uploads/client.py,HTTP/1.1,DirBuster-0.12 (http://www.owasp.org/index.php/Category:OWASP_DirBuster_Project),-,-,-,-,-
15,24-09-2019 11:07,6,192.168.43.202,192.168.43.182,12361,80,1222,5644,0x00000018,GET,192.168.43.182,http://192.168.43.182/sa/3204/uploads/thereIsNoWayThat-You-CanBeThere/,HTTP/1.1,DirBuster-0.12 (http://www.owasp.org/index.php/Category:OWASP_DirBuster_Project),-,-,-,-,-
16,24-09-2019 11:07,6,192.168.43.202,192.168.43.182,12362,80,1225,2963,0x00000018,GET,192.168.43.182,http://192.168.43.182/sa/3204/thereIsNoWayThat-You-CanBeThere.php,HTTP/1.1,DirBuster-0.12 (http://www.owasp.org/index.php/Category:OWASP_DirBuster_Project),-,-,-,-,-
17,24-09-2019 11:07,6,192.168.43.202,192.168.43.182,12365,80,1235,6371,0x00000018,GET,192.168.43.182,http://192.168.43.182/sa/3204/uploads/thereIsNoWayThat-You-CanBeThere.txt,HTTP/1.1,DirBuster-0.12 (http://www.owasp.org/index.php/Category:OWASP_DirBuster_Project),-,-,-,-,-
